,ASIN,Title,Brand,Best-Sellers_Rank,Best_Sellers_Rank_fields,Product_Dimensions_Inches,Item_Weight_Pounds,Date_First_Available,Is_Discontinued_By_Manufacturer,Item_Model_Number,Average_Battery_Life_In_Hours),Batteries,Card_Description,Chipset_Brand,Voltage,Series,National_Stock_Number,Wireless_Type,Max_Screen_Resolution_Pixels,Standing_Screen_Display_Size_Inches,Operating_System,Color,Graphics_Coprocessor,Number_of_USB_2.0_Ports,Number_of_USB_3.0_Ports,Computer_Memory_Type,Processor_Brand,Processor_Count,Memory_Speed_In_GHz,Hard_Drive_Interface,Hardware_Platform,Flash_Memory_Size_In_GB
1154,B08JBVT48L,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, HD IPS Display, Windows 10, Touch Numeric Keypad, Dual Band WiFi, Grey",Winnovo,2441, Computers & Accessories ,14.21 x 9.96 x 2.91 ,4.37,2020-11-08,,Winnovo N140,,1 Lithium Polymer batteries required. (included),Integrated,,220 volts_of_alternating_current,Winnovo N140,,"802.11bgn, 802.11ac",1366*768 ,14 ,Windows 10 S,Gray,Intel HD Graphic 500,,,DDR3 SDRAM,Intel,2,,USB 3.0,PC,128 GB
1155,B08N63ZSV7,"2020 15.6-inch Laptop 6G + 256G, Intel celeron J3455 high-Performance Quad-core CPU, 2PCS 4500mAh can Work continuously for 6-8 Hours, WiFi, HDMI, Bluetooth 4.0, Windows 10 (Silver 6G+256G)",XINYANGCH,25033, Computers & Accessories ,18.94 x 11.5 x 2.36 ,3.96,2019-12-04,,N15C,,,,,240 volts,NB15A,,Bluetooth,1920*1080 ,15 ,Windows 10,Silver 8G+128G,1920*1080,,,DDR3 SDRAM,Intel,4,2.3,ATA,PC,256 GB
1156,B08MT7WLGK,"Thomson WWNEO15I5-8BK1T 15.6 in 2.7GHz Intel Core I5 Broadwell I5-5257U Processor 8GB DDR3L RAM |1TB Hard Disk & Intel Iris 6100 Graphic Processor, Windows 10 Home, Black",Thomson,80574, Electronics ,15.55 x 10.43 x 3.11 ,3.96,2020-11-04,,WWNEO15I5-8BK1T,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,0,,,,
1157,B084X7LWQQ,"Razer Blade Stealth 13 Ultrabook Gaming Laptop: Intel Core i7-1065G7 4 Core,NVIDIA GeForce GTX 1650 Max-Q,13.3"" FHD 1080p 60Hz,16GB RAM,512GB SSD, CNC Aluminum,Chroma RGB,Thunderbolt 3,Black-(Renewed)",Razer,52996, Computers & Accessories ,8.27 x 11.99 x 0.6 ,3.13,2020-02-18,,,8 Hours,1 Lithium ion batteries required. (included),Dedicated,NVIDIA,,Blade Stealth 13,,,1920 x 1080 ,13.3 ,Windows 10,Classic Black,NVIDIA GeForce GTX 1650,,,,Intel,4,3.733,Solid State,PC,16
1158,B07QGR9H6T,"Lenovo Ideapad S940 Notebook, 14-Inch FHD (1920 X 1080) IPS Display, Intel Core i7-8565U Processor, 8GB DDR4 OnBoard RAM, 256GB NVMe SSD, Windows 10, 81R00004US, Iron Grey",Lenovo,9059, Computers & Accessories ,12.57 x 7.77 x 0.48 ,3.36,2019-04-10,,81R00004US,15 Hours,1 Lithium Polymer batteries required. (included),Integrated,Intel,,Ideapad S940,,"Bluetooth, 801.11ac",1920 x 1080 ,14 ,Windows 10,Iron Grey,Intel UHD Graphics 620,,,Unknown,Intel,1,,PCIE x 4,PC,
1159,B0742H4TKY,"Lenovo FLEX 5 80XA0000US 14"" Laptop Computer (7th Gen Intel i5 7200U, 256GB SSD, 8GB DDR4, Win 10, Integrated Intel HD Graphics 620)",Lenovo,47323, Computers & Accessories ,507.87 x 354.33 x 31.5 ,3.5,2017-07-01,,80XA0000US,7 Hours,1 Lithium Polymer batteries required.,Integrated,Intel,,Lenovo Flex 5,,802.11ac,1920x1080,14 ,Windows 10,Black,Intel HD Graphics 620,2,,Unknown,Intel,1,2.4,,PC,256 GB
1160,B01HHB8B9Q,"HP Chromebook 11, 11.6"", Celeron, 4GB, 16GB, Chrome OS",HP,3508, Computers & Accessories ,17.5 x 10 x 3 ,2.4,2016-06-23,,HP Chromebook 11,12.83 Hours,1 Lithium Metal batteries required. (included),Integrated,Intel,,HP Chromebook 11,,802.11abg,1366 x 768 ,11.6 ,Chrome OS,Black,Intel HD Graphics,,2,Unknown,Intel,2,2.48,ATA-4,Chrome OS,16
1161,B07RDJ8DRQ,"ASUS GA502DU - 15.6"" FHD - AMD Ryzen 7 3750H - NVIDIA GTX 1660 Ti Max-Q - 16GB - 512GB SSD",ASUS,12186, Computers & Accessories ,15.75 x 10.87 x 2.91 ,4.63,2019-05-06,,GA502DU-BR7N6,8 Hours,1 Lithium ion batteries required. (included),Dedicated,Amd,,GA502DU,,Bluetooth,1920 x 1080,15.6 ,Windows 10 Home,Black,NVIDIA GeForce GTX 1660Ti,,,DDR4 SDRAM,AMD,4,2.666,Solid State,,512 GB
1162,B07M9SMWMS,"Asus TUF Gaming Laptop, 15.6” IPS Level Full HD, AMD Ryzen 5 3550H Processor, AMD Radeon Rx 560X, 8GB DDR4, 256GB PCIe Nvme SSD, Gigabit WiFi, Windows 10 - FX505DY-ES51",ASUS,25268, Computers & Accessories ,14.2 x 10.3 x 1 ,4.85,2018-12-26,,FX505DY-ES51,,1 Lithium ion batteries required. (included),Dedicated,AMD,,TUF Gaming FX505,,"Bluetooth, 802.11b/n/ac",1920 x 1080 ,15.6 ,Windows 10 Home,,AMD Radeon RX 560,1,2,DDR4 SDRAM,AMD,4,2.4,Solid State,PC,256
1163,B08KXKMTCB,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, FHD IPS Display, Dual Band WiFi, Numeric Keypad (Grey)",Winnovo,12510, Computers & Accessories ,12.8 x 8.66 x 0.59 ,4.36,2020-11-08,,N140,,1 Lithium Polymer batteries required. (included),Integrated,Intel,,Winnovo N140,,"802.11bgn, 802.11ac",1920x1080 ,14 ,Windows 10,Grey(6+128),Intel Celeron N3350,,,DDR3 SDRAM,Intel,4,,USB,PC,
1164,B08P4CGZYK,"XIDU Tour Pro 12.5"" Touchscreen Laptop, 2K(2560x1440) IPS Display, Backlit Keyboard, Fingerprint Reader, Intel Celeron 3867U, 8GB RAM, 128GB eMMC, Windows 10 Home (Space Gray)",XIDU,3677, Computers & Accessories ,11.44 x 7.93 x 0.59 ,2.65,2020-11-25,,XN1A,8 Hours,1 Lithium Polymer batteries required. (included),Integrated,Intel,19 volts_of_direct_current,QW125,,"802.11bgn, 802.11ac",2560 x 1440 ,12.5 ,Windows 10 Home,Space Gray,Intel HD Graphics 610,,1,DDR3 SDRAM,Intel,2,1.8,Solid State,Windows,
1165,B08PNM7GT3,"Lenovo ThinkPad T15 Gen 1 15.6"" FHD (1920x1080) IPS 250nits Anti-Glare Display - Intel Core i7-10510U Processor, 16GB RAM, 1TB PCIe-NVMe SSD, Windows 10 Pro 64-bit",Lily Rose Tech,8471, Computers & Accessories ,14.4 x 9.7 x 0.75 ,3.86,2020-12-03,,T15 Gen 1,,1 Lithium ion batteries required. (included),,Intel,,ThinkPad,,Bluetooth,1920 x 1080 ,15.6 ,Windows 10,Black,Intel UHD Graphics,,,SODIMM,Intel,4,1.8,Solid State,PC,
1166,B07VQB9X12,"HP Envy 13” Thin Laptop W/ Fingerprint Reader, FHD Touchscreen, 10th Gen Intel Core i7-10510U, 8GB SDRAM, 256GB Solid State Drive, Windows 10 Home (13-aq1010nr, Natural Silver)",HP,40001, Computers & Accessories ,12.1 x 8.3 x 0.6 ,2.6,2019-08-11,,13-aq1010nr,,1 Lithium ion batteries required. (included),Integrated,Intel,,HP ENVY Laptop 13-aq1010nr,,,1920 x 1080,13.3 ,Windows 10 Home,,,,,Unknown,Intel,4,2.4,Solid State,Unknown,256
1167,B08FDBRV63,"Lenovo Yoga C740 2-in-1 14"" FHD Touchscreen Laptop | Backlit Keyboard | Core i5-10210U | Webcam | USB-C | Amazon Alexa | Integrated Intel UHD Graphics | Windows 10 | Mica (8GB RAM | 256GB PCIe SSD)",Lenovo,12372, Computers & Accessories ,8.4 x 12.7 x 0.7 ,3.09,2020-08-07,,Lenovo Yoga C740,,1 Lithium ion batteries required. (included),Integrated,Intel,,Lenovo Yoga C740,,Bluetooth,1920 x 1080 ,14 ,Windows 10,Mica,Integrated Intel UHD Graphics,,,DDR4 SDRAM,Intel,4,,Solid State,PC,256 GB
1168,B07M7YP3CD,"Smartbook High-Performance 10.1 inch Ultra-Thin Portable Office Entertainment Notebook only 0.8KG Intel Quad-core Processor 2G+32GB EMMC pre-Installed Windows 10 Professional, Office 2010 (Pink)",Smart-US,15226, Computers & Accessories ,12.24 x 10.51 x 1.77 ,2.86,2019-01-11,,,6 Hours,,,Intel,,A101,,Bluetooth,,10.1 ,Windows 10,,Z8350,,,DDR3 SDRAM,Intel,4,,ATA,PC,
1169,B08FPTG4J9,"HP Stream 14-ds0035nr 14"" HD Laptop AMD A4-9120e Dual-Core 1.5 Ghz 4GB DDR4 32GB eMMC AMD Radeon R3 Graphics Windows 10 Home in S Mode (Renewed)",HP,20606, Computers & Accessories ,13.27 x 8.86 x 0.73 ,3.19,2020-08-11,,,,,,Amd,,14-ds0035nr,,"Bluetooth, 802.11a",1366 x 768 ,14 ,Windows 10,Black,AMD,,,DDR4 SDRAM,AMD,2,2.2,Solid State,PC,32 GB
1170,B07C6WYLQB,"Acer Nitro 5 AN515 Laptop: Core i5-8300H, 15.6inch Full HD IPS Display, 8GB RAM, 1TB HDD, NVidia GTX 1050 4GB Graphics",Acer,16938, Computers & Accessories ,10.47 x 15.39 x 1.06 ,5.95,2018-04-15,,AN515-53-52FA,,2 D batteries required. (included),Dedicated,Nvidia,,Acer Nitro,,802.11a/b/g/n/ac,,15.6 ,Windows 10,,NVIDIA GeForce GTX 1050,2,1,DDR4 SDRAM,Intel,4,2.3,,,
1171,B08P6TY5BM,"Laptop 15.6 inch, 1920x1080 HD Display, Intel j4115CPU. 8GB RAM，256GB M2 SSD，Windows 10pro",HAOMA,14645, Computers & Accessories ,14.17 x 9.25 x 0.43 ,3.3,2020-11-27,,L02,,,,Intel,,,,"Bluetooth, 802.11b",1920*1080 Lines Per Inch,15.6 ,Windows 10 Pro,Gray,Intel UHD 600,,,DDR4 SDRAM,Intel,4,1.8,Serial ATA-300,PC,
1172,B08JBVT48L,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, HD IPS Display, Windows 10, Touch Numeric Keypad, Dual Band WiFi, Grey",Winnovo,2441, Computers & Accessories ,14.21 x 9.96 x 2.91 ,4.37,2020-11-08,,Winnovo N140,,1 Lithium Polymer batteries required. (included),Integrated,,220 volts_of_alternating_current,Winnovo N140,,"802.11bgn, 802.11ac",1366*768 ,14 ,Windows 10 S,Gray,Intel HD Graphic 500,,,DDR3 SDRAM,Intel,2,,USB 3.0,PC,128 GB
1173,B08JBVT48L,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, HD IPS Display, Windows 10, Touch Numeric Keypad, Dual Band WiFi, Grey",Winnovo,2441, Computers & Accessories ,14.21 x 9.96 x 2.91 ,4.37,2020-11-08,,Winnovo N140,,1 Lithium Polymer batteries required. (included),Integrated,,220 volts_of_alternating_current,Winnovo N140,,"802.11bgn, 802.11ac",1366*768 ,14 ,Windows 10 S,Gray,Intel HD Graphic 500,,,DDR3 SDRAM,Intel,2,,USB 3.0,PC,128 GB
1174,B08MT7WLGK,"Thomson WWNEO15I5-8BK1T 15.6 in 2.7GHz Intel Core I5 Broadwell I5-5257U Processor 8GB DDR3L RAM |1TB Hard Disk & Intel Iris 6100 Graphic Processor, Windows 10 Home, Black",Thomson,80574, Electronics ,15.55 x 10.43 x 3.11 ,3.96,2020-11-04,,WWNEO15I5-8BK1T,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,0,,,,
1175,B07DQVLVVS,"HP EliteBook 840 G3 - 14” FHD, Intel Core i5-6300U 2.4Ghz, 8GB DDR4, 256GB SSD, Bluetooth 4.2, Windows 10 64 (Renewed)",HP,5434, Computers & Accessories ,9.3 x 13.3 x 0.7 ,0.3376,2018-06-14,,EliteBook 840 G3,,1 Lithium ion batteries required. (included),Integrated,Intel,,Elitebook 840 G3,,Bluetooth,1920 x 1080,14 ,Windows 10 Pro,,Intel HD Graphics 520,1,1,DDR2 SDRAM,Intel Core i5-6300U 2.4Ghz,2,,Serial ATA,PC,256
1176,B07D6D36PT,"Dell Latitude 7480 FHD Ultrabook Business Laptop NoteBook PC (Intel Core i7-7600U, 8GB Ram, 256GB Solid State SSD, HDMI, Camera, WIFI, Thunderbolt 3) Win 10 Pro (Renewed)",Dell,17299, Computers & Accessories ,13 x 8.7 x 0.72 ,5.19,2017-12-03,,Latitude 7480,8 Hours,,Integrated,Intel,,Dell Latitude 7480,,"802.11abg, 802.11bgn, 802.11ag",1920x1080,14 ,Windows 10 Pro,Black,Intel HD Graphics 620,,,SDRAM,Intel,4,3.9,Solid State,PC,256 GB
1177,B08F4V95DB,"Lenovo Chromebook Flex 5 13"" Laptop, FHD (1920 x 1080) Touch Display i3-10110U Processor, 4GB DDR4 OnBoard RAM, 64GB SSD, Intel Integrated Graphics, Chrome OS, 82B80006UX Graphite Grey (Renewed)",Lenovo,17945, Computers & Accessories ,12.2 x 8.43 x 0.67 ,2.97,2020-08-03,,,10 Hours,,Integrated,Intel,,"ChromeBook Flex 5 13""",,802.11ax,1920 x 1080 ,13.3 ,Chrome OS,Graphite Grey,Intel Integrated Graphics,,,DDR4 SDRAM,Intel,1,,Serial ATA,Chrome,64
1178,B07Q435GWC,"2019 Lenovo Chromebook S330 14"" IPS Thin and Light Laptop Computer, MediaTek MTK 8173C 1.70GHz, 4GB RAM, 64GB eMMC Flash Memory, 802.11ac WiFi, Bluetooth 4.1, USB 3.0, HDMI, Chrome OS",Lenovo,62084, Computers & Accessories ,12.8 x 9.1 x 0.8 ,3.0,2019-03-28,,S330,10 Hours,1 Lithium ion batteries required. (included),Integrated,Mediatek,,Chromebook,,802.11ac,1366x768,14 ,Chrome OS,,Integrated MediaTek Graphics,,,SDRAM,MediaTek,2,1.866,ESATA,PC,64 GB
1179,B07XYTC8WG,"Dell XPS 13 7390 13.3 inch 4K UHD InfinityEdge Touchscreen Laptop (Silver) 10th Gen Intel Core i7-10710U, 16GB RAM, 1TB SSD, Windows 10 Home Advance (XPS7390-7681SLV-PUS)",Dell,12359, Computers & Accessories ,11.7 x 8.2 x 0.5 ,1.2,2019-09-17,,XPS7390-7681SLV-PUS,,1 Lithium ion batteries required. (included),Integrated,Intel,,XPS7390-7681SLV-PUS,,Bluetooth,3840 x 2160,13.3 ,Windows 10 Home,Silver,Integrated,1,2,DDR4 SDRAM,Intel,6,2.133,Solid State,13TGEMCUT,16
1180,B07PPDFFG9,"HP ENVY 13-13.99 Inches Thin Laptop w/ Fingerprint Reader, 4K Touchscreen, Intel Core i7-8565U, NVIDIA GeForce MX250 Graphics, 16GB SDRAM, 512GB SSD, Windows 10 Home (13-aq0044nr, Natural Silver)",HP,5100, Computers & Accessories ,13.3 x 8.9 x 0.9 ,2.6,2019-04-18,,13-aq0044nr,,1 Lithium Polymer batteries required. (included),Dedicated,NVIDIA,,13-aq0044nr,,"802.11n, 802.11b, 802.11g, 801.11ac",3840 x 2160,13.3 ,Windows 10 Home,,NVIDIA GeForce MX250,,,Unknown,Intel,4,2.4,Solid State,PC,512
1181,B08KXKMTCB,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, FHD IPS Display, Dual Band WiFi, Numeric Keypad (Grey)",Winnovo,12510, Computers & Accessories ,12.8 x 8.66 x 0.59 ,4.36,2020-11-08,,N140,,1 Lithium Polymer batteries required. (included),Integrated,Intel,,Winnovo N140,,"802.11bgn, 802.11ac",1920x1080 ,14 ,Windows 10,Grey(6+128),Intel Celeron N3350,,,DDR3 SDRAM,Intel,4,,USB,PC,
1182,B08P4CGZYK,"XIDU Tour Pro 12.5"" Touchscreen Laptop, 2K(2560x1440) IPS Display, Backlit Keyboard, Fingerprint Reader, Intel Celeron 3867U, 8GB RAM, 128GB eMMC, Windows 10 Home (Space Gray)",XIDU,3677, Computers & Accessories ,11.44 x 7.93 x 0.59 ,2.65,2020-11-25,,XN1A,8 Hours,1 Lithium Polymer batteries required. (included),Integrated,Intel,19 volts_of_direct_current,QW125,,"802.11bgn, 802.11ac",2560 x 1440 ,12.5 ,Windows 10 Home,Space Gray,Intel HD Graphics 610,,1,DDR3 SDRAM,Intel,2,1.8,Solid State,Windows,
1183,B003PFN78O,"Dell Latitude D630 14.1-Inches Laptop (Core 2 Duo Dual Core 2.0GHz, 2GBRam, 80GB HDD, DVD Player, Windows XP), Grey",Dell,23031, Computers & Accessories ,19.3 x 12.3 x 6.5 ,7.55,2004-04-02,,Latitude D630,,1 Lithium ion batteries required.,Integrated,Intel,,Latitude,,,,14.1 ,Windows XP Professional,Grey,Intel GMA X3100,,,,Intel,2,,,PC,
1184,B084RXT6KP,"HP EliteBook 850 G6 15.6"" Notebook - Core i5 i5-8265U - 8 GB RAM - 256 GB SSD - Windows 10 Pro 64-bit - Intel UHD Graphics 620 - in-Plane Switching (IPS) Technology - English Keyboa (Renewed)",HP,18055, Computers & Accessories ,9.9 x 14.6 x 0.7 ,3.9,2020-02-13,,,,,Integrated,Intel,,EliteBook,,,1920 x 1080,15.6 ,Windows 10 Home,,Intel UHD Graphics 620,,,Unknown,,1,,Unknown,,256 GB
1185,B07MSJTYR2,"Acer Chromebook 15.6"" IPS Full HD Intel Celeron N3350 1.10 GHz 4GB LPDDR4 32GB Flash Memory HDR Webcam Chrome OS",Acer,61083, Computers & Accessories ,14.9 x 10.1 x 0.8 ,3.0,2019-01-09,,CB315-1HT-C9UA,12 Hours,1 Lithium Polymer batteries required. (included),,,,CB315-1HT,,802.11ac,1920x1080,15.6 ,Windows 10,2019lPlatinum GreylTouch,Intel HD Grpahics 500,,,Unknown,Intel,2,,Unknown,PC,32 GB
1186,B08CS48VZR,"HP Spectre X360 15.6 Inch 4K UHD Touch-Screen 512GB SSD + 32GB Optane 1.8GHz i7 2-in-1 Laptop (16GB RAM, Quad-Core i7-10510U, GeForce MX330, Windows 10 Home) Nightfall Black 15-EB0043DX",HP,1567, Computers & Accessories ,14.2 x 0.8 x 8.9 ,4.23,2020-07-06,,15-EB0043DX,,1 Lithium Polymer batteries required. (included),Dedicated,NVIDIA,,HP Spectre x360 Laptop,,802.11ac,3840 x 2160 ,15.6 ,Windows 10,Nighfall Black,NVIDIA GeForce MX330,,,DDR4 SDRAM,Intel,4,1.8,Solid State,PC,512 GB
1187,B07CHVH11J,"ASUS Chromebook-Laptop- 11.6"" Ruggedized and Spill Resistant Design-with 180 Degree-Hinge, Intel N3060 Celeron 4GB DDR3, 32GB eMMC, Chrome OS- C202SA-YS04 Dark Blue",ASUS,8359, Computers & Accessories ,11.6 x 7.9 x 0.9 ,2.6,2018-03-09,,C202SA-YS04,1 Hours,1 Lithium Polymer batteries required. (included),Integrated,Intel,19 volts,ASUS Chromebook C202SA,,802.11ac,1366 x 768 ,11.6 ,Chrome OS,Blue,,,2,DDR3 SDRAM,Intel,2,2.48,Serial ATA,,32
1188,B08D2GPHVZ,"Gigabyte [2020] AORUS 15G (WB) Performance Gaming Laptop, 15.6-inch FHD 300Hz IPS, GeForce RTX 2070 Max-Q, 10th Gen Intel i7-10875H, 16GB DDR4, 512GB NVMe SSD, 300Hz | GeForce RTX 2070 MAX-Q",Gigabyte,185400, Computers & Accessories ,9.84 x 14 x 0.98 ,4.85,2020-07-15,,AORUS 15G,8 Hours,1 Lithium Polymer batteries required. (included),Dedicated,NVIDIA,,AORUS 15G WB-8US6130MH,,"Bluetooth, 802.11ax, 802.11ac",1920 x 1080 ,15.6 ,Windows 10 Home,AORUS 15G - Alloy + Mech Keyboard,NVIDIA GeForce RTX 2070 Max-Q,,3,DDR4 SDRAM,Intel,8,3.2,USB-C,PC,512
1189,B082CZZGX6,"XINYANGCH 2021 15.6-inch Laptop 8G + 128G Intel celeron J3455 high-Performance Quad-core CPU, 2PCS 4500mAh can Work continuously for 6-8 Hours, WiFi, HDMI, Bluetooth 4.0, Windows 10 (Silver 8G+128G)",XINYANGCH,16002, Computers & Accessories ,16.46 x 11.61 x 3.43 ,3.96,2019-12-04,,,,,,,,NB15A,,Bluetooth,1920 x 1080,15.6 ,Windows 10,Silver 8G+128G,1920*1080,,,DDR3 SDRAM,Intel,4,2.3,USB,PC,
1190,B08P6TY5BM,"Laptop 15.6 inch, 1920x1080 HD Display, Intel j4115CPU. 8GB RAM，256GB M2 SSD，Windows 10pro",HAOMA,14645, Computers & Accessories ,14.17 x 9.25 x 0.43 ,3.3,2020-11-27,,L02,,,,Intel,,,,"Bluetooth, 802.11b",1920*1080 Lines Per Inch,15.6 ,Windows 10 Pro,Gray,Intel UHD 600,,,DDR4 SDRAM,Intel,4,1.8,Serial ATA-300,PC,
1191,B08N63ZSV7,"2020 15.6-inch Laptop 6G + 256G, Intel celeron J3455 high-Performance Quad-core CPU, 2PCS 4500mAh can Work continuously for 6-8 Hours, WiFi, HDMI, Bluetooth 4.0, Windows 10 (Silver 6G+256G)",XINYANGCH,25033, Computers & Accessories ,18.94 x 11.5 x 2.36 ,3.96,2019-12-04,,N15C,,,,,240 volts,NB15A,,Bluetooth,1920*1080 ,15 ,Windows 10,Silver 8G+128G,1920*1080,,,DDR3 SDRAM,Intel,4,2.3,ATA,PC,256 GB
1192,B08MT7WLGK,"Thomson WWNEO15I5-8BK1T 15.6 in 2.7GHz Intel Core I5 Broadwell I5-5257U Processor 8GB DDR3L RAM |1TB Hard Disk & Intel Iris 6100 Graphic Processor, Windows 10 Home, Black",Thomson,80574, Electronics ,15.55 x 10.43 x 3.11 ,3.96,2020-11-04,,WWNEO15I5-8BK1T,,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,0,,,,
1193,B07QF66YQ7,"MSI GL73 9SDK-219 17.3"" Gaming Laptop, 144Hz Display, Intel Core i7-9750H, NVIDIA GeForce GTX1660Ti, 16GB, 512GB NVMe SSD",MSI COMPUTER,47796, Computers & Accessories ,11.29 x 16.49 x 1.25 ,5.95,,,GL73 9SDK-219,,,,,,,,,,,,,,,,,,0,,,,
1194,B08JVHHTJ6,"Panasonic Toughbook CF-19, MK6, 10.1"" Multi Touchscreen + Digitizer, Rugged Laptop Convertible Tablet, Intel Core i5 @2.60GHz, 8GB, 128GB SSD, Windows 10 Pro, GPS, Fingerprint Reader (Renewed)",Toughbook,33320, Computers & Accessories ,14 x 14 x 4 ,7.0,2020-09-23,,,,1 Lithium ion batteries required. (included),,,,CF-19,,Bluetooth,1024 x 768 ,10.1 ,Windows 10 Pro,,Intel Graphics,,,DDR3 SDRAM,Intel,2,2.6,Unknown,PC,
1195,B019ZZBCC0,"Acer Aspire One 14"" Cloudbook AO1-431-C8G8 Laptop PC with Intel Celeron N3050, 2GB Memory, 32GB eMMC, Windows 10 and Office 365 Personal Mineral Gray",Acer,53739, Computers & Accessories ,13.4 x 9.3 x 0.5 ,3.5,2015-12-30,,AO1-431-C8G8,8 Hours,1 Lithium ion batteries required. (included),Integrated,Intel,,AO1-431-C8G8,,"802.11bgn, 802.11a",1366x768,14 ,Chrome OS,Black,Intel HD Graphics,,,DDR3 SDRAM,Intel,2,,Solid State,PC,32 GB
1196,B08R6L1Z2L,"Panasonic Toughbook 31, CF-31, Intel Core i5-520M @2.4GHz, vPro, 13.1"" XGA Touchscreen, 8GB, 128GB SSD, Wi-fi, Bluetooth, Backlit Keyboard, Win 10 Pro (Renewed)",Toughbook,11717, Computers & Accessories ,15.5 x 15 x 4.5 ,4.63,2020-12-22,,,,1 Lithium ion batteries required. (included),,Texas Instruments,,CF-31 mk1,,Bluetooth,1024 x 768 ,13.1 ,Windows 10 Pro,,Intel® HD Graphics for Previous Generation,,,DDR3 SDRAM,Intel,2,2.4,Solid State,PC,
1197,B07T8CHW5L,【8GB & Office 2010】 Narrow Frame Thin Lightweight 15.6 inch high-Performance Laptop high Speed Intel N4100 CPU Loading Memory 8G/256GB Wireless LAN Correspondence Large Capacity SSD (8G+256GB),Smart-US,22087, Computers & Accessories ,16.57 x 10.98 x 3.35 ,3.3,2019-06-20,,,6 Hours,,,,,K156,,Bluetooth,1920 x 1080,15.6 ,Windows 10,,N4100,,,RDRAM,Intel,4,1.8,ATA,PC,256 GB
1198,B07RR34442,"Lenovo ThinkPad T490s 20NX002HUS 14"" Touchscreen Notebook - 1920 x 1080 - Core i7 i7-8565U - 16 GB RAM - 512 GB SSD - Windows 10 Pro 64-bit - Intel UHD Graphics 620 - in-Plane Switching (IPS) Tec",Lenovo,5331, Computers & Accessories ,17.6 x 12 x 3.2 ,3.09,2019-05-09,,20NX002HUS,,1 Lithium ion batteries required. (included),Integrated,Intel,,Lenovo Thinkpad,,802.11ac,1920 x 1080,14 ,Windows 10,Black,Intel UHD Graphics 620,,3,Unknown,Intel,1,,Solid State,PC,512
1199,B08KXKMTCB,"Laptop 14 Inch, Winnovo N140, 6GB RAM, 128GB SSD, Intel Celeron Processor, FHD IPS Display, Dual Band WiFi, Numeric Keypad (Grey)",Winnovo,12510, Computers & Accessories ,12.8 x 8.66 x 0.59 ,4.36,2020-11-08,,N140,,1 Lithium Polymer batteries required. (included),Integrated,Intel,,Winnovo N140,,"802.11bgn, 802.11ac",1920x1080 ,14 ,Windows 10,Grey(6+128),Intel Celeron N3350,,,DDR3 SDRAM,Intel,4,,USB,PC,
1200,B08P4CGZYK,"XIDU Tour Pro 12.5"" Touchscreen Laptop, 2K(2560x1440) IPS Display, Backlit Keyboard, Fingerprint Reader, Intel Celeron 3867U, 8GB RAM, 128GB eMMC, Windows 10 Home (Space Gray)",XIDU,3677, Computers & Accessories ,11.44 x 7.93 x 0.59 ,2.65,2020-11-25,,XN1A,8 Hours,1 Lithium Polymer batteries required. (included),Integrated,Intel,19 volts_of_direct_current,QW125,,"802.11bgn, 802.11ac",2560 x 1440 ,12.5 ,Windows 10 Home,Space Gray,Intel HD Graphics 610,,1,DDR3 SDRAM,Intel,2,1.8,Solid State,Windows,
1201,B07L25B814,"Acer Chromebook 514, CB514-1H-C47X, Intel Celeron N3350, 14"" Full HD, 4GB LPDDR4, 32GB eMMC, Backlit Keyboard, Google Chrome",Acer,6642, Computers & Accessories ,12.72 x 9.13 x 0.67 ,3.09,2018-12-10,,CB514-1H-C47X,12 Hours,1 Lithium Polymer batteries required. (included),Integrated,Intel,,CB514-1H-C47X,,"802.11b, 802.11a, 802.11g",,14 ,Chrome OS,,Intel HD Graphics 500,,4,DDR4 SDRAM,Intel,2,,,,2
1202,B084DWJ9GF,"HP 17z Laptop 5NV50AV AMD Ryzen 5 3500U 12 GB DDR4 256 GB SSD 17.3"" Diagonal HD+ SVA WLED-Backlit Touch Screen",HP,21563, Computers & Accessories ,14 x 10 x 1 ,5.0,2020-02-01,,5NV50AV,,1 Lithium ion batteries required. (included),,Amd,,HP 17Z,,"Bluetooth, 802.11b",1600 x 900 Lines Per Inch,17.3 ,Windows 10,Jet Black,AMD Radeon™ Vega 8 Graphics,,,DDR DRAM,AMD,2,2.4,Solid State,PC,256 GB
